New Jersey, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,63.9,-1.1
199109,64.8,-0.2
199209,64.8,-0.2
199309,65.1,0.1
199409,64.2,-0.8
199509,65.5,0.5
199609,66.2,1.2
199709,64.4,-0.6
199809,68.2,3.2
199909,67.2,2.2
200009,64.4,-0.6
200109,64.8,-0.2
200209,67.8,2.8
200309,66.9,1.9
200409,67.6,2.6
200509,70.2,5.2
200609,64.3,-0.7
200709,68.0,3.0
200809,67.4,2.4
200909,64.7,-0.3
201009,69.2,4.2
201109,68.9,3.9
201209,67.0,2.0
201309,64.4,-0.6
