State;Latitude;Longitude
Alabama;32.806.671;-86.791.130
Alaska;61.370.716;-152.404.419
Arizona;33.729.759;-111.431.221
Arkansas;34.969.704;-92.373.123
California;36.116.203;-119.681.564
Colorado;39.059.811;-105.311.104
Connecticut;41.597.782;-72.755.371
Delaware;39.318.523;-75.507.141
District of Columbia;38.897.438;-77.026.817
Florida;27.766.279;-81.686.783
Georgia;33.040.619;-83.643.074
Hawaii;21.094.318;-157.498.337
Idaho;44.240.459;-114.478.828
Illinois;40.349.457;-88.986.137
Indiana;39.849.426;-86.258.278
Iowa;42.011.539;-93.210.526
Kansas;38.526.600;-96.726.486
Kentucky;37.668.140;-84.670.067
Louisiana;31.169.546;-91.867.805
Maine;44.693.947;-69.381.927
Maryland;39.063.946;-76.802.101
Massachusetts;42.230.171;-71.530.106
Michigan;43.326.618;-84.536.095
Minnesota;45.694.454;-93.900.192
Mississippi;32.741.646;-89.678.696
Missouri;38.456.085;-92.288.368
Montana;46.921.925;-110.454.353
Nebraska;41.125.370;-98.268.082
Nevada;38.313.515;-117.055.374
New Hampshire;43.452.492;-71.563.896
New Jersey;40.298.904;-74.521.011
New Mexico;34.840.515;-106.248.482
New York;42.165.726;-74.948.051
North Carolina;35.630.066;-79.806.419
North Dakota;47.528.912;-99.784.012
Ohio;40.388.783;-82.764.915
Oklahoma;35.565.342;-96.928.917
Oregon;44.572.021;-122.070.938
Pennsylvania;40.590.752;-77.209.755
Rhode Island;41.680.893;-71.511.780
South Carolina;33.856.892;-80.945.007
South Dakota;44.299.782;-99.438.828
Tennessee;35.747.845;-86.692.345
Texas;31.054.487;-97.563.461
Utah;40.150.032;-111.862.434
Vermont;44.045.876;-72.710.686
Virginia;37.769.337;-78.169.968
Washington;47.400.902;-121.490.494
West Virginia;38.491.226;-80.954.453
Wisconsin;44.268.543;-89.616.508
Wyoming;42.755.966;-107.302.490
