Wyoming, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,12.7,-7.9
199112,22.4,1.8
199212,16.3,-4.3
199312,22.9,2.3
199412,25.3,4.7
199512,24.7,4.1
199612,21.3,0.7
199712,21.0,0.4
199812,21.3,0.7
199912,25.2,4.6
200012,19.0,-1.6
200112,21.2,0.6
200212,24.9,4.3
200312,24.8,4.2
200412,25.8,5.2
200512,20.6,0.0
200612,23.7,3.1
200712,18.0,-2.6
200812,18.9,-1.7
200912,14.5,-6.1
201012,23.8,3.2
201112,21.0,0.4
201212,22.1,1.5
201312,18.1,-2.5
